taxon_name_from	taxon_name_to	Match_type	Match_origin	taxon_id (if not in DynTaxa)	Note
Lagisca elisabethae	Harmothoe impar	exact	Worms		
Lagisca floccosa propinqua	Harmothoe propinqua	Exact	Dyntaxa		
Lagisca propinqua	Harmothoe propinqua	Exact	Dyntaxa		
Lamellibranchia	Bivalvia	OK		4000057	
Lamellibranchiata	Bivalvia	Exact	Dyntaxa		
Laminaria saccharina	Saccharina latissima	Exact	Dyntaxa		
Lamprops fasciata	Lamprops fasciatus	antag felstav			
Laonome kroeyeri	Laonome kroyeri	Exact	Dyntaxa		
Leanira tetragona	Neoleanira tetragona	Exact	Dyntaxa		
Leathesia difformis	Leathesia marina	Exact	Dyntaxa		
Legaardiella	Leegaardiella	antag felstav			
Lembos longipes	Autonoe longipes	Exact	Dyntaxa		
Lemmermannia komarekii	Crucigenia lauterbornii	Exact	Dyntaxa		
Leptocheirus pilosus	Leptocheirus hirsutimanus	OK		243533	
Leptodora kindtii	Leptodora kindti	antag felstav			
Leptognathia brevimanus	Araphura brevimanus	Exact	Dyntaxa		
Leptognathia filiformis	Araphura filiformis	Exact	Dyntaxa		
Leucon	Leucon (Leucon)	OK		245434	
Leucon acutirostris	Leucon (Leucon) acutirostris	Exact	Dyntaxa		
Leucon nasica	Leucon (Leucon) nasica	Exact	Dyntaxa		
Leucon pallidus	Leucon (Alytoleucon) pallidus	Exact	Dyntaxa		
Leucosolenia botryides	Leucosolenia botryoides	Exact	Dyntaxa		
Leucothoe lilljeborgi	Leucothoe lilljeborgii	Exact	Dyntaxa		
Levensenia gracilis	Levinsenia gracilis	antag felstav			
Liljeborgia brevicornis	Liljeborgia pallida	antag felstav			
Lilljeborgia macronyx	Liljeborgia macronyx	felstav			
Limea loscombii	Limaria loscombi	Exact	Dyntaxa		
Limecola balthica	Macoma balthica	Exact	Dyntaxa		
Lingulodinium polyedrum	Lingulodinium polyedra	Exact	Dyntaxa		
Lipobranchus jeffreysi	Lipobranchius jeffreysii	antag felstav			
Lipobranchus jeffreysii	Lipobranchius jeffreysii	Exact	Dyntaxa		
Lithothamnion / Phymatolithon /Hildenbrandia / Pseudolithoderma	Algae	antag felstav			
Littorinimorpha (e.g. Rissoa / Peringia)	Littorinimorpha	antag felstav			
Lophelia pertusa	Desmophyllum pertusum	Exact	Dyntaxa		
Lora reticulata	Curtitoma trevelliana	Exact	Dyntaxa		
Lucina borealis	Lucinoma borealis	Exact	Dyntaxa		
Luidia sarsii	Luidia sarsi	Exact	Dyntaxa		
Lumbrinereis	Lumbrineris	Exact	Dyntaxa		
Lumbrinereis fragilis	Scoletoma fragilis	antag felstav			
Lumbrinereis scopa aequilobata	Lumbrineris scopa aequilobata	antag felstav			
Lumbrinereis scopa aequilobata	Lumbrineris scopa aequilobata	antag felstav			
Lumbrinereis scopa aequilobata	Lumbrineris scopa aequilobata	antag felstav			
Lumbrinereis scopa aequilobata	Lumbrineris scopa aequilobata	antag felstav			
Lumbrineriidae	Lumbrineridae	Exact	Dyntaxa		
Lumbrineris fragilis	Scoletoma fragilis	Exact	Dyntaxa		
Lumbrineris frgm	Lumbrineris 	antag felstav			
Lumbrineris gracilis	Hilbigneris gracilis	Exact	Dyntaxa		
Lumbrineris impatiens	Scoletoma impatiens	Exact	Dyntaxa		
Lumbrineris magnidentata	Scoletoma magnidentata	Exact	Dyntaxa		
Lumbrineris scopa	Abyssoninoe hibernica	Exact	Dyntaxa		
Lumbrineris scopa aequilobata	Abyssoninoe hibernica	Exact	Dyntaxa		
Lumbrineris scopa aquilobata	Lumbrineris scopa aequilobata	antag felstav			
